Number,Element,Nuclide,Mass,Composition,Weight,Notes
1,H,1,1.007825032,0.999885,"[1.00784,1.00811]",m
1,H,2,2.014101778,0.000115,,
1,H,3,3.016049278,,,
2,He,3,3.01602932,0.00000134,4.002602,"g,r"
2,He,4,4.002603254,0.99999866,,
3,Li,6,6.015122887,0.0759,"[6.938,6.997]",m
3,Li,7,7.016003437,0.9241,,
4,Be,9,9.012183065,1,9.0121831,?
5,B,10,10.01293695,0.199,"[10.806,10.821]",m
5,B,11,11.00930536,0.801,,
6,C,12,12,0.9893,"[12.0096,12.0116]",?
6,C,13,13.00335484,0.0107,,
6,C,14,14.00324199,,,
7,N,14,14.003074,0.99636,"[14.00643,14.00728]",?
7,N,15,15.0001089,0.00364,,
8,O,16,15.99491462,0.99757,"[15.99903,15.99977]",?
8,O,17,16.99913176,0.00038,,
8,O,18,17.99915961,0.00205,,
9,F,19,18.99840316,1,18.99840316,?
10,Ne,20,19.99244018,0.9048,20.1797,"g,m"
10,Ne,21,20.99384669,0.0027,,
10,Ne,22,21.99138511,0.0925,,
11,Na,23,22.98976928,1,22.98976928,?
12,Mg,24,23.9850417,0.7899,"[24.304,24.307]",?
12,Mg,25,24.98583698,0.1,,
12,Mg,26,25.98259297,0.1101,,
13,Al,27,26.98153853,1,26.9815385,?
14,Si,28,27.97692653,0.92223,"[28.084,28.086]",?
14,Si,29,28.97649466,0.04685,,
14,Si,30,29.97377014,0.03092,,
15,P,31,30.973762,1,30.973762,?
16,S,32,31.97207117,0.9499,"[32.059,32.076]",?
16,S,33,32.97145891,0.0075,,
16,S,34,33.967867,0.0425,,
16,S,36,35.96708071,0.0001,,
17,Cl,35,34.96885268,0.7576,"[35.446,35.457]",m
17,Cl,37,36.9659026,0.2424,,
18,Ar,36,35.96754511,0.003336,39.948,"g,r"
18,Ar,38,37.96273211,0.000629,,
18,Ar,40,39.96238312,0.996035,,
19,K,39,38.96370649,0.932581,39.0983,?
19,K,40,39.96399817,0.000117,,
19,K,41,40.96182526,0.067302,,
20,Ca,40,39.96259086,0.96941,40.078,g
20,Ca,42,41.95861783,0.00647,,
20,Ca,43,42.95876644,0.00135,,
20,Ca,44,43.95548156,0.02086,,
20,Ca,46,45.953689,0.00004,,
20,Ca,48,47.95252276,0.00187,,
21,Sc,45,44.95590828,1,44.955908,?
22,Ti,46,45.95262772,0.0825,47.867,?
22,Ti,47,46.95175879,0.0744,,
22,Ti,48,47.94794198,0.7372,,
22,Ti,49,48.94786568,0.0541,,
22,Ti,50,49.94478689,0.0518,,
23,V,50,49.94715601,0.0025,50.9415,?
23,V,51,50.94395704,0.9975,,
24,Cr,50,49.94604183,0.04345,51.9961,?
24,Cr,52,51.94050623,0.83789,,
24,Cr,53,52.94064815,0.09501,,
24,Cr,54,53.93887916,0.02365,,
25,Mn,55,54.93804391,1,54.938044,?
26,Fe,54,53.93960899,0.05845,55.845,?
26,Fe,56,55.93493633,0.91754,,
26,Fe,57,56.93539284,0.02119,,
26,Fe,58,57.93327443,0.00282,,
27,Co,59,58.93319429,1,58.933194,?
28,Ni,58,57.93534241,0.68077,58.6934,r
28,Ni,60,59.93078588,0.26223,,
28,Ni,61,60.93105557,0.011399,,
28,Ni,62,61.92834537,0.036346,,
28,Ni,64,63.92796682,0.009255,,
29,Cu,63,62.92959772,0.6915,63.546,r
29,Cu,65,64.9277897,0.3085,,
30,Zn,64,63.92914201,0.4917,65.38,r
30,Zn,66,65.92603381,0.2773,,
30,Zn,67,66.92712775,0.0404,,
30,Zn,68,67.92484455,0.1845,,
30,Zn,70,69.9253192,0.0061,,
31,Ga,69,68.9255735,0.60108,69.723,?
31,Ga,71,70.92470258,0.39892,,
32,Ge,70,69.92424875,0.2057,72.63,?
32,Ge,72,71.92207583,0.2745,,
32,Ge,73,72.92345896,0.0775,,
32,Ge,74,73.92117776,0.365,,
32,Ge,76,75.92140273,0.0773,,
33,As,75,74.92159457,1,74.921595,?
34,Se,74,73.92247593,0.0089,78.971,r
34,Se,76,75.9192137,0.0937,,
34,Se,77,76.91991415,0.0763,,
34,Se,78,77.91730928,0.2377,,
34,Se,80,79.9165218,0.4961,,
34,Se,82,81.9166995,0.0873,,
35,Br,79,78.9183376,0.5069,"[79.901,79.907]",?
35,Br,81,80.9162897,0.4931,,
36,Kr,78,77.92036494,0.00355,83.798,"g,m"
36,Kr,80,79.91637808,0.02286,,
36,Kr,82,81.91348273,0.11593,,
36,Kr,83,82.91412716,0.115,,
36,Kr,84,83.91149773,0.56987,,
36,Kr,86,85.91061063,0.17279,,
37,Rb,85,84.91178974,0.7217,85.4678,g
37,Rb,87,86.90918053,0.2783,,
38,Sr,84,83.9134191,0.0056,87.62,"g,r"
38,Sr,86,85.9092606,0.0986,,
38,Sr,87,86.9088775,0.07,,
38,Sr,88,87.9056125,0.8258,,
39,Y,89,88.9058403,1,88.90584,?
40,Zr,90,89.9046977,0.5145,91.224,g
40,Zr,91,90.9056396,0.1122,,
40,Zr,92,91.9050347,0.1715,,
40,Zr,94,93.9063108,0.1738,,
40,Zr,96,95.9082714,0.028,,
41,Nb,93,92.906373,1,92.90637,?
42,Mo,92,91.90680796,0.1453,95.95,g
42,Mo,94,93.9050849,0.0915,,
42,Mo,95,94.90583877,0.1584,,
42,Mo,96,95.90467612,0.1667,,
42,Mo,97,96.90601812,0.096,,
42,Mo,98,97.90540482,0.2439,,
42,Mo,100,99.9074718,0.0982,,
43,Tc,97,96.9063667,,?,
43,Tc,98,97.9072124,,,
43,Tc,99,98.9062508,,,
44,Ru,96,95.90759025,0.0554,101.07,g
44,Ru,98,97.9052868,0.0187,,
44,Ru,99,98.9059341,0.1276,,
44,Ru,100,99.9042143,0.126,,
44,Ru,101,100.9055769,0.1706,,
44,Ru,102,101.9043441,0.3155,,
44,Ru,104,103.9054275,0.1862,,
45,Rh,103,102.905498,1,102.9055,?
46,Pd,102,101.9056022,0.0102,106.42,g
46,Pd,104,103.9040305,0.1114,,
46,Pd,105,104.9050796,0.2233,,
46,Pd,106,105.9034804,0.2733,,
46,Pd,108,107.9038916,0.2646,,
46,Pd,110,109.9051722,0.1172,,
47,Ag,107,106.9050916,0.51839,107.8682,g
47,Ag,109,108.9047553,0.48161,,
48,Cd,106,105.9064599,0.0125,112.414,g
48,Cd,108,107.9041834,0.0089,,
48,Cd,110,109.9030066,0.1249,,
48,Cd,111,110.9041829,0.128,,
48,Cd,112,111.9027629,0.2413,,
48,Cd,113,112.9044081,0.1222,,
48,Cd,114,113.9033651,0.2873,,
48,Cd,116,115.9047632,0.0749,,
49,In,113,112.9040618,0.0429,114.818,?
49,In,115,114.9038788,0.9571,,
50,Sn,112,111.9048239,0.0097,118.71,g
50,Sn,114,113.9027827,0.0066,,
50,Sn,115,114.9033447,0.0034,,
50,Sn,116,115.9017428,0.1454,,
50,Sn,117,116.902954,0.0768,,
50,Sn,118,117.9016066,0.2422,,
50,Sn,119,118.9033112,0.0859,,
50,Sn,120,119.9022016,0.3258,,
50,Sn,122,121.9034438,0.0463,,
50,Sn,124,123.9052766,0.0579,,
51,Sb,121,120.903812,0.5721,121.76,g
51,Sb,123,122.9042132,0.4279,,
52,Te,120,119.9040593,0.0009,127.6,g
52,Te,122,121.9030435,0.0255,,
52,Te,123,122.9042698,0.0089,,
52,Te,124,123.9028171,0.0474,,
52,Te,125,124.9044299,0.0707,,
52,Te,126,125.9033109,0.1884,,
52,Te,128,127.9044613,0.3174,,
52,Te,130,129.9062227,0.3408,,
53,I,127,126.9044719,1,126.90447,?
54,Xe,124,123.905892,0.000952,131.293,"g,m"
54,Xe,126,125.9042983,0.00089,,
54,Xe,128,127.903531,0.019102,,
54,Xe,129,128.9047809,0.264006,,
54,Xe,130,129.9035093,0.04071,,
54,Xe,131,130.9050841,0.212324,,
54,Xe,132,131.9041551,0.269086,,
54,Xe,134,133.9053947,0.104357,,
54,Xe,136,135.9072145,0.088573,,
55,Cs,133,132.905452,1,132.905452,?
56,Ba,130,129.9063207,0.00106,137.327,?
56,Ba,132,131.9050611,0.00101,,
56,Ba,134,133.9045082,0.02417,,
56,Ba,135,134.9056884,0.06592,,
56,Ba,136,135.9045757,0.07854,,
56,Ba,137,136.9058271,0.11232,,
56,Ba,138,137.905247,0.71698,,
57,La,138,137.9071149,0.0008881,138.90547,g
57,La,139,138.9063563,0.9991119,,
58,Ce,136,135.9071292,0.00185,140.116,g
58,Ce,138,137.905991,0.00251,,
58,Ce,140,139.9054431,0.8845,,
58,Ce,142,141.9092504,0.11114,,
59,Pr,141,140.9076576,1,140.90766,?
60,Nd,142,141.907729,0.27152,144.242,g
60,Nd,143,142.90982,0.12174,,
60,Nd,144,143.910093,0.23798,,
60,Nd,145,144.9125793,0.08293,,
60,Nd,146,145.9131226,0.17189,,
60,Nd,148,147.9168993,0.05756,,
60,Nd,150,149.9209022,0.05638,,
61,Pm,145,144.9127559,,?,
61,Pm,147,146.915145,,,
62,Sm,144,143.9120065,0.0307,150.36,g
62,Sm,147,146.9149044,0.1499,,
62,Sm,148,147.9148292,0.1124,,
62,Sm,149,148.9171921,0.1382,,
62,Sm,150,149.9172829,0.0738,,
62,Sm,152,151.9197397,0.2675,,
62,Sm,154,153.9222169,0.2275,,
63,Eu,151,150.9198578,0.4781,151.964,g
63,Eu,153,152.921238,0.5219,,
64,Gd,152,151.9197995,0.002,157.25,g
64,Gd,154,153.9208741,0.0218,,
64,Gd,155,154.9226305,0.148,,
64,Gd,156,155.9221312,0.2047,,
64,Gd,157,156.9239686,0.1565,,
64,Gd,158,157.9241123,0.2484,,
64,Gd,160,159.9270624,0.2186,,
65,Tb,159,158.9253547,1,158.92535,?
66,Dy,156,155.9242847,0.00056,162.5,g
66,Dy,158,157.9244159,0.00095,,
66,Dy,160,159.9252046,0.02329,,
66,Dy,161,160.9269405,0.18889,,
66,Dy,162,161.9268056,0.25475,,
66,Dy,163,162.9287383,0.24896,,
66,Dy,164,163.9291819,0.2826,,
67,Ho,165,164.9303288,1,164.93033,?
68,Er,162,161.9287884,0.00139,167.259,g
68,Er,164,163.9292088,0.01601,,
68,Er,166,165.9302995,0.33503,,
68,Er,167,166.9320546,0.22869,,
68,Er,168,167.9323767,0.26978,,
68,Er,170,169.9354702,0.1491,,
69,Tm,169,168.9342179,1,168.93422,?
70,Yb,168,167.9338896,0.00123,173.054,g
70,Yb,170,169.9347664,0.02982,,
70,Yb,171,170.9363302,0.1409,,
70,Yb,172,171.9363859,0.2168,,
70,Yb,173,172.9382151,0.16103,,
70,Yb,174,173.9388664,0.32026,,
70,Yb,176,175.9425764,0.12996,,
71,Lu,175,174.9407752,0.97401,174.9668,g
71,Lu,176,175.9426897,0.02599,,
72,Hf,174,173.9400461,0.0016,178.49,?
72,Hf,176,175.9414076,0.0526,,
72,Hf,177,176.9432277,0.186,,
72,Hf,178,177.9437058,0.2728,,
72,Hf,179,178.9458232,0.1362,,
72,Hf,180,179.946557,0.3508,,
73,Ta,180,179.9474648,0.0001201,180.94788,?
73,Ta,181,180.9479958,0.9998799,,
74,W,180,179.9467108,0.0012,183.84,?
74,W,182,181.9482039,0.265,,
74,W,183,182.9502228,0.1431,,
74,W,184,183.9509309,0.3064,,
74,W,186,185.9543628,0.2843,,
75,Re,185,184.9529545,0.374,186.207,?
75,Re,187,186.9557501,0.626,,
76,Os,184,183.9524885,0.0002,190.23,g
76,Os,186,185.953835,0.0159,,
76,Os,187,186.9557474,0.0196,,
76,Os,188,187.9558352,0.1324,,
76,Os,189,188.9581442,0.1615,,
76,Os,190,189.9584437,0.2626,,
76,Os,192,191.961477,0.4078,,
77,Ir,191,190.9605893,0.373,192.217,?
77,Ir,193,192.9629216,0.627,,
78,Pt,190,189.9599297,0.00012,195.084,?
78,Pt,192,191.9610387,0.00782,,
78,Pt,194,193.9626809,0.3286,,
78,Pt,195,194.9647917,0.3378,,
78,Pt,196,195.9649521,0.2521,,
78,Pt,198,197.9678949,0.07356,,
79,Au,197,196.9665688,1,196.966569,?
80,Hg,196,195.9658326,0.0015,200.592,?
80,Hg,198,197.9667686,0.0997,,
80,Hg,199,198.9682806,0.1687,,
80,Hg,200,199.9683266,0.231,,
80,Hg,201,200.9703028,0.1318,,
80,Hg,202,201.9706434,0.2986,,
80,Hg,204,203.973494,0.0687,,
81,Tl,203,202.9723446,0.2952,"[204.382,204.385]",?
81,Tl,205,204.9744278,0.7048,,
82,Pb,204,203.973044,0.014,207.2,"g,r"
82,Pb,206,205.9744657,0.241,,
82,Pb,207,206.9758973,0.221,,
82,Pb,208,207.9766525,0.524,,
83,Bi,209,208.9803991,1,208.9804,?
84,Po,209,208.9824308,,?,
84,Po,210,209.9828741,,,
85,At,210,209.9871479,,?,
85,At,211,210.9874966,,,
86,Rn,211,210.9906011,,?,
86,Rn,220,220.0113941,,,
86,Rn,222,222.0175782,,,
87,Fr,223,223.019736,,?,
88,Ra,223,223.0185023,,?,
88,Ra,224,224.020212,,,
88,Ra,226,226.0254103,,,
88,Ra,228,228.0310707,,,
89,Ac,227,227.0277523,,?,
90,Th,230,230.0331341,232.0377,g,
90,Th,232,232.0380558,1,,
91,Pa,231,231.0358842,1,231.03588,?
92,U,233,233.0396355,238.02891,"g,m",
92,U,234,234.0409523,0.000054,,
92,U,235,235.0439301,0.007204,,
92,U,236,236.0455682,,,
92,U,238,238.0507884,0.992742,,
93,Np,236,236.04657,,?,
93,Np,237,237.0481736,,,
94,Pu,238,238.0495601,,?,
94,Pu,239,239.0521636,,,
94,Pu,240,240.0538138,,,
94,Pu,241,241.0568517,,,
94,Pu,242,242.0587428,,,
94,Pu,244,244.0642053,,,
95,Am,241,241.0568293,,?,
95,Am,243,243.0613813,,,
96,Cm,243,243.0613893,,?,
96,Cm,244,244.0627528,,,
96,Cm,245,245.0654915,,,
96,Cm,246,246.0672238,,,
96,Cm,247,247.0703541,,,
96,Cm,248,248.0723499,,,
97,Bk,247,247.0703073,,?,
97,Bk,249,249.0749877,,,
98,Cf,249,249.0748539,,?,
98,Cf,250,250.0764062,,,
98,Cf,251,251.0795886,,,
98,Cf,252,252.0816272,,,
99,Es,252,252.08298,,?,
100,Fm,257,257.0951061,,?,
101,Md,258,258.0984315,,?,
102,Md,260,260.10365,,,
102,No,259,259.10103,,?,
103,Lr,262,262.10961,,?,
104,Rf,267,267.12179,,?,
105,Db,268,268.12567,,?,
106,Sg,271,271.13393,,?,
107,Bh,272,272.13826,,?,
108,Hs,270,270.13429,,?,
109,Mt,276,276.15159,,?,
110,Ds,281,281.16451,,?,
111,Rg,280,280.16514,,?,
112,Cn,285,285.17712,,?,
113,Nh,284,284.17873,,?,
114,Fl,289,289.19042,,?,
115,Mc,288,288.19274,,?,
116,Lv,293,293.20449,,?,
117,Ts,292,292.20746,,?,
118,Og,294,294.21392,,?,
